Season,Award_Cat,Award_Name,Lookupkey,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SEASON,UID,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0607,G1,Steve Nash ,0607Steve Nash,PG,32,PHO,76,76,2682,23.8,0.654,0.353,0.254,1.4,9.9,5.8,50.1,1.1,0.2,21,22.9,10.8,1.7,12.6,0.225,6.1,-2.3,3.8,3.9,0607,0607295,517,971,.532,156,343,.455,361,628,.575,.613,222,247,.899,30,239,269,884,57,6,287,117,1412
0607,G2,Tracy McGrady ,0607Tracy McGrady,SG,27,HOU,71,71,2539,23.2,0.515,0.257,0.33,2.6,14.5,8.6,37.5,1.9,1.1,11.2,35,4.1,4.5,8.6,0.163,4.6,1.6,6.2,5.2,0607,0607271,638,1480,.431,126,381,.331,512,1099,.466,.474,345,488,.707,56,322,378,458,92,36,213,136,1747
0607,G3,Chauncey Billups ,0607Chauncey Billups,PG,30,DET,70,70,2533,21.3,0.591,0.388,0.536,1.1,10,5.6,32.9,1.8,0.5,12.2,21.5,8.7,2.7,11.4,0.216,5.4,-0.9,4.4,4.1,0607,060740,348,815,.427,109,316,.345,239,499,.479,.494,386,437,.883,23,214,237,502,84,17,140,161,1191
0506,G1,Steve Nash ,0506Steve Nash,PG,32,PHO,76,79,2682,23.8,0.654,0.353,0.254,1.4,9.9,5.8,50.1,1.1,0.2,21,22.9,10.8,1.7,12.6,0.225,6.1,-2.3,3.8,3.9,0506,0506295,541,1056,.512,150,342,.439,391,714,.548,.583,257,279,.921,47,286,333,826,61,12,276,120,1489
0506,G2,Dwyane Wade ,0506Dwyane Wade,SG,25,MIA,51,75,1931,28.9,0.583,0.082,0.556,3.2,11.2,7.3,40.5,3,2.5,15.3,34.7,5.9,2.9,8.8,0.219,6.5,1.9,8.4,5.1,0506,0506419,699,1413,.495,13,76,.171,686,1337,.513,.499,629,803,.783,107,323,430,503,146,58,268,217,2040
0506,G3,Allen Iverson ,0506Allen Iverson,SG-PG,31,TOT,65,72,2761,19.6,0.54,0.15,0.465,1,6.9,4,29.6,2.2,0.3,14.5,29.3,4,2.2,6.2,0.108,2.2,-1.5,0.8,1.9,0506,0506199,815,1822,.447,72,223,.323,743,1599,.465,.467,675,829,.814,44,188,232,532,140,10,248,121,2377
1516,G1,Russell Westbrook ,1516Russell Westbrook,PG,27,OKC,80,80,2750,27.6,0.554,0.236,0.397,6.1,18.1,12.4,49.6,2.9,0.6,16.8,31.6,10,4,14,0.245,7.6,2.4,10,8.3,1516,1516452,656,1444,.454,101,341,.296,555,1103,.503,.489,465,573,.812,145,481,626,834,163,20,342,200,1878
1516,G2,Chris Paul ,1516Chris Paul,PG,30,LAC,74,74,2420,26.2,0.575,0.295,0.294,1.8,12,7,52.7,3.1,0.4,13.4,27.1,9.2,3.5,12.7,0.253,7.3,0.5,7.8,6,1516,1516348,515,1114,.462,122,329,.371,393,785,.501,.517,294,328,.896,39,271,310,738,152,13,194,185,1446
1516,G3,Klay Thompson ,1516Klay Thompson,SG,25,GSW,80,80,2666,18.6,0.597,0.469,0.159,1.5,10.3,6.2,9.8,1.1,1.4,8.5,26.3,5.4,2.6,8,0.144,2.9,-2.2,0.7,1.8,1516,1516425,651,1386,.470,276,650,.425,375,736,.510,.569,193,221,.873,35,271,306,166,60,49,138,152,1771
1415,G1,James Harden ,1415James Harden,SG,25,HOU,81,81,2981,26.7,0.605,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,12.2,4.2,16.4,0.265,7.4,1,8.4,7.8,1415,1415197,647,1470,.440,208,555,.375,439,915,.480,.511,715,824,.868,75,384,459,565,154,60,321,208,2217
1415,G2,Russell Westbrook ,1415Russell Westbrook,PG,26,OKC,67,67,2302,29.1,0.536,0.196,0.445,5.9,16.7,11.4,47,3,0.5,14.3,38.4,7.5,3.2,10.6,0.222,8.8,2.2,11,7.6,1415,1415470,627,1471,.426,86,288,.299,541,1183,.457,.455,546,654,.835,124,364,488,574,140,14,293,184,1886
1415,G3,Kyrie Irving ,1415Kyrie Irving,PG,22,CLE,75,75,2730,21.5,0.583,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,8.4,2,10.4,0.183,4.7,-1.4,3.3,3.7,1415,1415231,578,1235,.468,157,378,.415,421,857,.491,.532,315,365,.863,55,182,237,389,114,20,186,146,1628
