Season,LookupKey,Rk,Player,PlayerID,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1617,1617Denzel Valentine,418,Denzel Valentine,valende01,SG,23,CHI,32,401,5.6,0.438,0.697,0.084,0.8,13.7,7.2,7.9,2.1,0.6,14.5,15.7,-0.5,0.4,-0.1,-0.008,-3.7,-0.6,-4.3,-0.2,0,401,38,119,0.319,25,83,0.301,13,36,0.361,0.424,7,10,0.7,3,50,53,22,17,3,21,31,108
1617,1617Fred VanVleet,419,Fred VanVleet,vanvlfr01,PG,22,TOR,21,145,13.8,0.456,0.295,0.18,2.3,12.6,7.4,18.6,3.5,0.6,5.7,21.4,0.1,0.2,0.3,0.089,-0.8,-0.5,-1.4,0,0,145,22,61,0.361,7,18,0.389,15,43,0.349,0.418,9,11,0.818,3,16,19,18,10,1,4,18,60
1617,1617Anderson Varejao,420,Anderson Varejao,varejan01,C,34,GSW,14,92,9.4,0.478,0,0.786,15.5,16.7,16.1,12.8,1.6,2.6,29.8,12.6,0,0.1,0.2,0.098,-3,2.5,-0.5,0,1,92,5,14,0.357,0,0,0,5,14,0.357,0.357,8,11,0.727,12,15,27,10,3,3,8,16,18
1617,1617Greivis Vasquez,421,Greivis Vasquez,vasqugr01,PG,30,BRK,3,39,4.1,0.376,0.375,0.375,0,5.4,2.7,17.5,1.2,1.9,9.7,11.3,0,0,0,-0.013,-5.7,-1.9,-7.7,-0.1,0,39,2,8,0.25,1,3,0.333,1,5,0.2,0.313,2,3,0.667,0,2,2,5,1,1,1,6,7
1617,1617Rashad Vaughn,422,Rashad Vaughn,vaughra01,SG,20,MIL,24,277,8.1,0.459,0.589,0.021,0.4,11.3,6,5.2,2.2,1.6,6.8,16.7,-0.2,0.2,0,-0.001,-3.2,-1.7,-4.8,-0.2,0,277,34,95,0.358,19,56,0.339,15,39,0.385,0.458,1,2,0.5,1,28,29,10,12,5,7,13,88
1617,1617Noah Vonleh,423,Noah Vonleh,vonleno01,PF,21,POR,48,634,8.1,0.453,0.133,0.287,11.1,23.9,17.4,2.4,1.2,2.1,18,14.2,-0.4,0.5,0.1,0.01,-5.8,-1,-6.8,-0.8,15,634,61,150,0.407,7,20,0.35,54,130,0.415,0.43,24,43,0.558,65,135,200,11,15,16,37,83,153
1617,1617Nikola Vucevic,424,Nikola Vucevic,vucevni01,C,26,ORL,55,1569,18.5,0.499,0.069,0.156,8.3,30.9,19.3,17.4,1.7,2.8,10.7,24.4,0.4,2.4,2.7,0.084,-1.6,2.6,1,1.2,35,1569,342,720,0.475,14,50,0.28,328,670,0.49,0.485,69,112,0.616,121,430,551,155,53,54,92,131,767
1617,1617Sasha Vujacic,425,Sasha Vujacic,vujacsa01,SG,32,NYK,28,229,8.3,0.46,0.563,0.234,1.4,14,7.7,13.7,2,0.7,12.4,15.1,0,0.2,0.1,0.027,-2.7,-1.3,-3.9,-0.1,2,229,21,64,0.328,11,36,0.306,10,28,0.357,0.414,12,15,0.8,3,30,33,23,9,2,10,23,65
1617,1617Dwyane Wade,426,Dwyane Wade,wadedw01,SG,35,CHI,48,1458,19.9,0.51,0.152,0.298,3.9,12.5,8.1,22.9,2.6,1.9,10.5,30,1.3,1.9,3.2,0.105,1.3,0.5,1.8,1.4,47,1458,345,795,0.434,39,121,0.322,306,674,0.454,0.458,189,237,0.797,53,165,218,185,75,35,106,90,918
1617,1617Dion Waiters,427,Dion Waiters,waitedi01,SG,25,MIA,34,1049,14.2,0.502,0.303,0.193,1.5,11.3,6.3,23.1,1.5,1.2,12,26,0,1.1,1.1,0.051,-0.3,-0.7,-1,0.3,31,1049,210,498,0.422,58,151,0.384,152,347,0.438,0.48,64,96,0.667,14,107,121,146,31,16,74,77,542
